key,en,de,ja,ro
options,options,optionen,オプション,opțiuni
together,together,zusammen,一緒に,impreuna
alone,alone,allein,一人で,singur
restart,restart,von vorn anfangen,リスタート,ia-o de la capat
quit,quit,verlassen,終了,închide
Savya died,savya died,savya starb,サブヤは死んだかな,savya a murit.
main menu,main menu,hauptmenü,メインメニュー,meniu principal
the box,the box,die kiste,箱,lada
please help me.,please help me.,bitte hilf mir.,助けってください,vă rog să mă ajutați.
can you hear me?,can you hear me?,kannst du mich hören?,あたしの声が聞こえますか,mă puteți auzi?
hello?,hello?,entschuldigung.,すみません,bre!
(press DOWN to close),(press DOWN to close),(drück ABWÄRTS),    (下矢印押して閉じる),(SĂGEATĂ ÎN JOS)